70,0
72,0
76,0
79,0
78,0
69,0
71,0
71,0
73,0
78,0
78,0
70,0
73,0
77,0
82,0
84,0
78,0
80,0
79,0
72,0
68,0
73,0
75,0
77,0
72,0
67,0
67,0
71,0
72,0
72,0
72,0
73,0
74,0
75,0
73,0
68,0
72,0
71,0
69,0
79,0
70,0
65,0
72,0
74,0
70,0
72,0
75,0
71,0
71,0
74,0
73,0
66,0
71,0
77,0
84,0
88,0
75,0
71,0
67,0
68,0
68,0
72,0
76,0
81,0
80,0
76,0
76,0
76,0
71,0
65,0
66,0
69,0
72,0
73,0
68,0
66,0
74,0
73,0
72,0
71,0
68,0.01
70,0
67,0
65,0
67,0
71,0
74,0
77,0
77,0
83,0
84,0
78,0
72,0
74,0
66,0
63,0
63,0
66,0
64,0
64,0
67,0
72,0
74,0
75,0
73,0
75,0
73,0
68,0
58,0.05
62,0
64,0
65,0
62,0
61,0.01
59,0.27
60,1.08
58,0
56,0
52,0
60,0
60,0.01
59,0.01
60,0
61,0
62,0
66,0
66,0
65,0
61,0
53,0.45
51,0
49,0.02
53,0
54,0
52,0
54,0
62,0
64,0
59,0
54,0
54,0
54,0
49,0.03
49,0.01
51,0
53,0.07
42,0
39,0
42,0
45,0.28
41,0
41,0
44,0
45,0
45,0
50,0.08
56,0
52,0.26
58,0.12
52,0
53,0.11
59,0.02
59,0
57,0
56,0
56,0
54,0.14
48,0
41,0
46,0.26
56,0.46
53,1.18
50,0
50,0
54,0.33
48,0
48,0
50,0.3
52,0.01
47,0
48,0.09
52,0.12
40,0
39,0
44,0.29
47,0.57
45,0
45,0
44,0
41,0
40,0
39,0
38,0
37,0
44,0
48,0
46,0.12
56,0
46,0
51,0
50,0
53,0
51,0
48,0
50,0
55,0
49,0
51,0
51,0
48,0
44,0
44,0
48,0.01
49,0.56
44,0
48,0
48,0
47,0
49,0
56,0
64,0
54,0
53,0
48,0
47,0
49,0
51,0
50,0
53,0.07
58,0.01
49,0.59
45,0.6
44,0.32
44,0.16
42,0
45,0
47,0
45,0
45,0.02
48,0.97
40,0
42,0
46,0
46,0
55,0.11
55,0
52,0
55,0
55,0.52
53,0
58,0
55,0
56,0
52,0
56,0
58,0
60,0.73
59,0.51
52,0.13
48,0
49,0.83
48,0.56
49,0.28
51,0
52,0.05
52,0.18
46,1.11
51,0.01
53,0.44
49,0
51,0
56,0
67,0
64,0
66,0
64,0
58,0
58,0
61,0
59,0
52,0
47,0
50,0
54,0
58,0
55,0
54,0
53,0
60,0
63,0
65,0
61,0
62,0
63,0
60,0.04
57,0
59,0
63,0
61,0.02
56,0
60,0
61,0
57,0
64,0
64,0
66,0
66,0
74,0
72,0
68,0
62,0
59,0
61,0
65,0
61,0
64,0
65,0
56,0
52,0.11
55,0.02
55,0.06
60,0.07
63,0
67,0
67,0
63,0
63,0
61,0
59,0.12
59,0
61,0
58,0.02
59,0
59,0
60,0.03
55,0.1
59,0
57,0
61,0.51
66,0.03
62,0
63,0
68,0
70,0
69,0
65,0
68,0
73,0
78,0
77,0
73,0
72,0
71,0
74,0
79,0
83,0
83,0
74,0
72,0
72,0
74,0
72,0
62,0.56
64,0
70,0
